Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
8ee32a8ab;2011-05-20;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-19: BookKeeper doesn't support more than 2Gig of memory (ivan via fpj);1;1
9ea30d361;2011-05-25;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-1: Static variable makes tests fail (fpj via ivank);1;0
266b1c274;2011-05-25;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-1: Static variable makes tests fail (fpj via ivank) [CHANGES.txt];1;0
267ed95a2;2011-06-06;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-22: Exception in LedgerCache causes addEntry request to fail (fpj via fpj);1;4
00f25f562;2011-07-07;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-5: Issue with Netty in BookKeeper (fpj and ivank via fpj);1;3
45aeb0473;2011-07-12;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-30: Test are too noisy (ivank via fpj);1;9
74397e3e2;2011-07-28;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-11: Read from open ledger (fpj via ivank);1;7
3e9d59648;2011-07-30;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-27: mvn site failed with unresolved dependencies (ivank via fpj);1;0
de1c3b26a;2011-08-10;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-29: BookieRecoveryTest fails intermittently (fpj via ivank);1;1
0910d6cd7;2011-08-11;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-33: Add length and offset parameter to addEntry (ivank via fpj);1;5
40b13a6b7;2011-08-11;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-29: BookieRecoveryTest fails intermittently (ivank, fpj via fpj);1;7
a772663c8;2011-08-23;AUTHOR=Benjamin Reed;MES=BOOKKEEPER-43: NullPointException when releasing topic;1;1
a01067bb2;2011-08-23;AUTHOR=Benjamin Reed;MES=BOOKKEEPER-38: Bookie Server doesn't exit when its zookeeper session is expired. So the process is hang there.;1;2
5095045d9;2011-08-23;AUTHOR=Benjamin Reed;MES=BOOKKEEPER-44: Reuse publish channel to default server to avoid too many connect requests to default server when lots of producers came in same time;1;1
c30c309bf;2011-08-23;AUTHOR=Benjamin Reed;MES=forgot to add test from BOOKKEEPER-38;1;1
