Ticket ID;Date;Fixed Commits;Affected Versions
BOOKKEEPER-139;2011-12-02;1;1
BOOKKEEPER-138;2011-12-02;1;1
BOOKKEEPER-134;2011-12-01;1;1
BOOKKEEPER-131;2011-11-30;1;1
BOOKKEEPER-129;2011-11-30;1;1
BOOKKEEPER-128;2011-11-29;1;1
BOOKKEEPER-127;2011-11-29;1;1
BOOKKEEPER-125;2011-11-29;1;1
BOOKKEEPER-124;2011-11-28;1;1
BOOKKEEPER-119;2011-11-25;1;1
BOOKKEEPER-118;2011-11-23;1;1
BOOKKEEPER-115;2011-11-18;1;1
BOOKKEEPER-107;2011-11-04;1;1
BOOKKEEPER-106;2011-11-04;2;1
BOOKKEEPER-100;2011-10-27;1;1
BOOKKEEPER-94;2011-10-26;1;1
BOOKKEEPER-93;2011-10-25;1;1
BOOKKEEPER-92;2011-10-25;1;1
BOOKKEEPER-88;2011-10-19;1;1
BOOKKEEPER-87;2011-10-19;1;1
BOOKKEEPER-86;2011-10-18;1;1
BOOKKEEPER-81;2011-10-14;1;1
BOOKKEEPER-80;2011-10-14;1;1
BOOKKEEPER-79;2011-10-14;1;1
BOOKKEEPER-71;2011-09-29;1;1
BOOKKEEPER-69;2011-09-28;1;1
BOOKKEEPER-68;2011-09-19;1;1
BOOKKEEPER-66;2011-09-13;1;1
BOOKKEEPER-65;2011-09-07;1;1
BOOKKEEPER-63;2011-08-31;1;1
BOOKKEEPER-62;2011-08-30;1;1
BOOKKEEPER-61;2011-08-30;2;1
BOOKKEEPER-59;2011-08-30;1;1
BOOKKEEPER-58;2011-08-29;1;1
BOOKKEEPER-57;2011-08-29;1;1
BOOKKEEPER-53;2011-08-25;1;1
BOOKKEEPER-52;2011-08-18;1;1
BOOKKEEPER-51;2011-08-18;1;1
BOOKKEEPER-50;2011-08-18;1;1
BOOKKEEPER-43;2011-08-11;1;1
BOOKKEEPER-39;2011-08-08;1;1
BOOKKEEPER-38;2011-08-08;1;1
BOOKKEEPER-29;2011-06-29;2;1
BOOKKEEPER-28;2011-06-29;1;1
BOOKKEEPER-27;2011-06-29;1;1
BOOKKEEPER-22;2011-06-01;1;1
BOOKKEEPER-19;2011-05-18;1;1
BOOKKEEPER-18;2011-05-16;1;1
BOOKKEEPER-5;2011-02-21;1;1
BOOKKEEPER-1;2011-04-26;2;1
BOOKKEEPER-288;2012-06-07;1;1
BOOKKEEPER-287;2012-06-05;1;1
BOOKKEEPER-286;2012-06-04;1;1
BOOKKEEPER-285;2012-06-04;1;1
BOOKKEEPER-281;2012-06-01;1;1
BOOKKEEPER-279;2012-05-31;1;1
BOOKKEEPER-273;2012-05-30;1;1
BOOKKEEPER-263;2012-05-16;1;1
BOOKKEEPER-260;2012-05-15;1;1
BOOKKEEPER-258;2012-05-14;1;1
BOOKKEEPER-245;2012-05-09;1;1
BOOKKEEPER-242;2012-05-08;1;1
BOOKKEEPER-235;2012-05-03;1;1
BOOKKEEPER-234;2012-05-03;1;1
BOOKKEEPER-232;2012-04-29;1;1
BOOKKEEPER-231;2012-04-28;1;1
BOOKKEEPER-229;2012-04-26;1;1
BOOKKEEPER-217;2012-04-16;1;1
BOOKKEEPER-216;2012-04-13;1;1
BOOKKEEPER-215;2012-04-11;1;1
BOOKKEEPER-213;2012-04-06;1;1
BOOKKEEPER-212;2012-04-06;1;1
BOOKKEEPER-211;2012-04-06;1;1
BOOKKEEPER-209;2012-04-05;1;1
BOOKKEEPER-207;2012-04-02;1;1
BOOKKEEPER-198;2012-03-30;1;1
BOOKKEEPER-197;2012-03-30;1;1
BOOKKEEPER-195;2012-03-28;1;1
BOOKKEEPER-194;2012-03-28;1;1
BOOKKEEPER-193;2012-03-26;1;1
BOOKKEEPER-190;2012-03-21;1;1
BOOKKEEPER-189;2012-03-20;1;1
BOOKKEEPER-188;2012-03-20;1;1
BOOKKEEPER-186;2012-03-16;1;1
BOOKKEEPER-184;2012-03-13;1;1
BOOKKEEPER-182;2012-03-08;1;1
BOOKKEEPER-180;2012-03-01;1;1
BOOKKEEPER-177;2012-02-23;1;1
BOOKKEEPER-176;2012-02-17;1;1
BOOKKEEPER-174;2012-02-16;1;1
BOOKKEEPER-173;2012-02-16;1;1
BOOKKEEPER-171;2012-02-14;1;1
BOOKKEEPER-170;2012-02-14;1;1
BOOKKEEPER-169;2012-02-14;1;1
BOOKKEEPER-167;2012-02-08;1;1
BOOKKEEPER-166;2012-02-07;1;1
BOOKKEEPER-163;2012-02-07;1;1
BOOKKEEPER-162;2012-02-07;1;1
BOOKKEEPER-161;2012-02-06;1;1
BOOKKEEPER-156;2012-01-29;1;1
BOOKKEEPER-153;2012-01-16;1;1
BOOKKEEPER-152;2012-01-11;1;1
BOOKKEEPER-150;2012-01-03;1;1
BOOKKEEPER-148;2012-01-02;1;1
BOOKKEEPER-146;2011-12-21;1;1
BOOKKEEPER-142;2011-12-12;1;1
BOOKKEEPER-140;2011-12-06;1;1
BOOKKEEPER-137;2011-12-02;1;2
BOOKKEEPER-135;2011-12-02;1;2
BOOKKEEPER-133;2011-12-01;1;1
BOOKKEEPER-113;2011-11-17;1;2
BOOKKEEPER-112;2011-11-15;1;2
BOOKKEEPER-74;2011-10-07;1;2
BOOKKEEPER-72;2011-10-07;1;2
BOOKKEEPER-56;2011-08-26;2;1
BOOKKEEPER-40;2011-08-08;1;2
BOOKKEEPER-543;2013-01-10;1;1
BOOKKEEPER-539;2013-01-09;1;1
BOOKKEEPER-538;2013-01-08;1;1
BOOKKEEPER-534;2013-01-05;1;1
BOOKKEEPER-533;2013-01-05;1;1
BOOKKEEPER-532;2013-01-05;1;1
BOOKKEEPER-531;2013-01-05;1;1
BOOKKEEPER-530;2012-12-29;1;1
BOOKKEEPER-524;2012-12-21;1;1
BOOKKEEPER-522;2012-12-20;1;1
BOOKKEEPER-520;2012-12-18;2;1
BOOKKEEPER-514;2012-12-14;1;1
BOOKKEEPER-513;2012-12-14;1;1
BOOKKEEPER-512;2012-12-14;1;1
BOOKKEEPER-511;2012-12-14;1;1
BOOKKEEPER-509;2012-12-14;1;1
BOOKKEEPER-507;2012-12-14;1;1
BOOKKEEPER-504;2012-12-13;1;1
BOOKKEEPER-503;2012-12-13;1;1
BOOKKEEPER-500;2012-12-11;1;2
BOOKKEEPER-498;2012-12-10;1;1
BOOKKEEPER-497;2012-12-10;1;1
BOOKKEEPER-493;2012-12-06;1;1
BOOKKEEPER-485;2012-11-27;1;1
BOOKKEEPER-484;2012-11-27;1;1
BOOKKEEPER-483;2012-11-27;1;1
BOOKKEEPER-482;2012-11-27;1;1
BOOKKEEPER-481;2012-11-27;1;1
BOOKKEEPER-480;2012-11-27;1;1
BOOKKEEPER-479;2012-11-27;1;1
BOOKKEEPER-477;2012-11-23;1;1
