Version;ClassName;Size;LOC_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;WeightedAge;Buggy
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;102;347;4;2;2;242;137;60.5;137;137;34.25;471;206;117.75;0;0.0;No
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;211;436;5;3;2;340;252;68.0;244;244;48.8;471;206;94.2;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;11;64;3;2;2;56;48;18.66;48;48;16.0;403;206;134.33;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;15;71;2;1;2;67;63;33.5;63;63;31.5;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;48;277;2;1;2;257;237;128.5;237;237;118.5;376;206;188.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;112;145;3;2;2;139;133;46.33;133;133;44.33;403;206;134.33;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;114;163;4;3;2;150;136;37.5;137;137;34.25;495;206;123.75;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;149;185;3;2;2;181;176;60.33;177;177;59.0;468;206;156.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;29;48;2;1;2;47;46;23.5;46;46;23.0;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;104;146;5;4;3;137;127;27.4;128;128;25.6;495;206;99.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;88;155;3;2;2;152;148;50.66;149;149;49.66;468;206;156.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;29;60;2;1;2;59;58;29.5;58;58;29.0;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;91;155;2;1;2;152;149;76.0;149;149;74.5;376;206;188.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;51;82;2;1;2;78;74;39.0;74;74;37.0;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;15;37;1;0;1;37;37;37.0;37;37;37.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;15;42;2;1;2;40;38;20.0;38;38;19.0;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;15;41;2;1;2;40;39;20.0;39;39;19.5;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;59;118;4;3;2;107;95;26.75;96;96;24.0;495;206;123.75;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;51;94;3;2;2;91;87;30.33;88;88;29.33;468;206;156.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;45;85;4;3;2;78;70;19.5;71;71;17.75;495;206;123.75;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;72;132;4;3;2;123;113;30.75;114;114;28.5;495;206;123.75;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;186;492;6;5;3;414;329;69.0;336;336;56.0;495;206;82.5;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;54;102;4;3;2;93;83;23.25;84;84;21.0;495;206;123.75;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;38;68;3;2;2;63;58;21.0;58;58;19.33;403;206;134.33;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;74;137;4;3;2;130;122;32.5;123;123;30.75;495;206;123.75;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;141;255;5;4;2;243;224;48.6;231;231;46.2;495;206;99.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;411;704;4;3;2;645;585;161.25;586;586;146.5;495;206;123.75;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;235;414;5;4;2;390;365;78.0;366;366;73.19;503;206;100.6;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;61;117;4;3;2;108;98;27.0;99;99;24.75;495;206;123.75;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;23;41;1;0;1;41;41;41.0;41;41;41.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;46;92;2;1;2;79;65;39.5;66;66;33.0;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;26;56;3;2;3;55;45;18.33;54;54;18.0;414;206;138.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;11;55;2;1;2;51;47;25.5;47;47;23.5;376;206;188.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;120;223;4;3;3;203;185;50.75;183;183;45.75;472;206;118.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;32;49;1;0;1;49;49;49.0;49;49;49.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;33;50;1;0;1;50;50;50.0;50;50;50.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;81;102;2;1;2;100;97;50.0;98;98;49.0;298;206;149.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;90;138;1;0;1;138;138;138.0;138;138;138.0;206;206;206.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;26;43;1;0;1;43;43;43.0;43;43;43.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;25;42;1;0;1;42;42;42.0;42;42;42.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;18;56;1;0;1;56;56;56.0;56;56;56.0;206;206;206.0;0;0.0;Yes
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;19;53;2;1;2;52;51;26.0;51;51;25.5;376;206;188.0;0;0.0;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;24;41;1;0;1;41;41;41.0;41;41;41.0;206;206;206.0;0;0.0;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;86;118;2;1;2;111;104;55.5;104;104;52.0;376;206;188.0;0;0.0;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;36;54;1;0;1;54;54;54.0;54;54;54.0;206;206;206.0;0;0.0;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;135;164;2;1;2;163;162;81.5;162;162;81.0;376;206;188.0;0;0.0;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;120;157;2;1;2;155;153;77.5;153;153;76.5;376;206;188.0;0;0.0;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;23;43;1;0;1;43;43;43.0;43;43;43.0;206;206;206.0;0;0.0;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;20;43;2;1;2;42;41;21.0;41;41;20.5;376;206;188.0;0;0.0;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;87;207;3;2;2;156;104;52.0;105;105;35.0;468;206;156.0;0;0.0;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;88;191;5;4;3;148;103;29.6;105;105;21.0;532;206;106.4;0;0.0;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;75;160;4;3;3;126;91;31.5;92;92;23.0;484;206;121.0;0;0.0;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;82;201;3;2;2;151;100;50.33;101;101;33.66;468;206;156.0;0;0.0;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;26;45;1;0;1;45;45;45.0;45;45;45.0;206;206;206.0;0;0.0;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;79;291;2;1;2;290;289;145.0;289;289;144.5;376;206;188.0;0;0.0;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;15;38;2;1;2;35;31;17.5;32;32;16.0;298;206;149.0;0;0.0;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;91;111;1;0;1;111;111;111.0;111;111;111.0;206;206;206.0;0;0.0;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;15;37;2;1;2;36;35;18.0;35;35;17.5;376;206;188.0;0;0.0;No
