Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
2a8d0486d0;2012-02-21;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-1 #resolve Updated all source file headers;1;521
6d6d71a6b2;2012-02-23;AUTHOR=Fabio Martelli;MES=SYNCOPE-7 #resolve #close #time 4d;1;7
c7febaa2ab;2012-02-23;AUTHOR=Francesco Chicchiriccò;MES=SYNCOPE-4 #resolve;1;38
2c0ca39671;2012-02-24;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-3] For JAR artifacts worked smoothly, for WAR artifacts some hack was needed;1;0
95906cd1ca;2012-02-27;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-2 #resolve Fixed LICENSE content;1;0
206e754bec;2012-02-27;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-8] Adding an explicit ReportletConfInstance entity in order to avoid @ElementCollection / CLOB confusion with other DBMS than H2;1;7
4a462756e4;2012-02-28;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-9] Updating logo and favicon in console webapp;1;0
5b42ee2cf1;2012-02-28;AUTHOR=Fabio Martelli;MES=SYNCOPE-10 #resolve #time 4h;1;6
88e7f6e1ea;2012-02-29;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-11 #resolve Fixed Virtual Attribute update;1;1
651ed51aa2;2012-02-29;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-12 Fixed Selenium tests;1;8
17f7f5a0b9;2012-03-01;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-17 Manage ConnId's configuration exception fixed;1;0
0a5bb7c528;2012-03-01;AUTHOR=Fabio Martelli;MES=SYNCOPE-16 #comment fixed issue;1;13
e797a8c4ba;2012-03-02;AUTHOR=Fabio Martelli;MES=SYNCOPE-23 #comment added overflow property to the css class;1;0
1fe1bf2dd6;2012-03-02;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-19 Updated Activiti to version 5.9. All core tests have been made on the different repository with positive results.;1;0
945a38fffc;2012-03-02;AUTHOR=Fabio Martelli;MES=SYNCOPE-24 #comment provided ConnObjectUtil as well;1;19
3d40c0df57;2012-03-02;AUTHOR=Fabio Martelli;MES=SYNCOPE-21 #comment org.apache.ibatis.exceptions.PersistenceException caught;1;0
0eb93961a0;2012-03-06;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-5] Report configuration web interface is drafted (and working);1;71
dd02660c06;2012-03-07;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-27] Using Spring's ClassUtils.getAllInterfacesForClassAsSet() in order to get all interfaces implemented, including ones implemented by superclasses;1;4
d5a2478c8e;2012-03-08;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-29] Fixing JBoss deployment descriptor for 7.1.0-Final;1;0
2847795486;2012-03-08;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-30] Including local META-INF resources alongside with externals (LICENSE, NOTICE);1;0
b04805a8ed;2012-03-08;AUTHOR=Fabio Martelli;MES=SYNCOPE-28 #comment not SyncJobAction methods return a copy of the original SyncDelta in order to be easily processed by the SyncJob;1;13
7819770c77;2012-03-08;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-6] Test cases added to selenium profile;1;1
53e6f4b87e;2012-03-09;AUTHOR=Fabio Martelli;MES=SYNCOPE-32 #comment SMALLINT type added for import/export;1;1
75f497793d;2012-03-09;AUTHOR=Fabio Martelli;MES=SYNCOPE-31 #comment user status can be managed during update as well;1;10
f67a072737;2012-03-09;AUTHOR=Fabio Martelli;MES=SYNCOPE-33 #comment virtual attributes were not valued from TO;1;5
e92e325bb9;2012-03-09;AUTHOR=Fabio Martelli;MES=SYNCOPE-34 #comment missed to pass virtual attributes as parameter to create propagation task;1;1
5d9e6826f9;2012-03-12;AUTHOR=Fabio Martelli;MES=SYNCOPE-22 #comment provided a separate method to be called to evaluate virtual attributes: ConnObjectUtil.retrieveVirAttrValues(...);1;16
651f968c7a;2012-03-13;AUTHOR=Fabio Martelli;MES=SYNCOPE-32 #comment let's catch connector exceptions also;1;1
9ba31b2eef;2012-03-13;AUTHOR=Fabio Martelli;MES=SYNCOPE-18 #comment provided control into SchemaMappingValidator class;1;5
90d9c46a8d;2012-03-14;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-20] First elements and mechanism in place: now it's time to disseminate code with audit statements;1;33
d6ce963ecc;2012-03-14;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-20] Added audit features for logger, configuration and connector;1;5
fa22d73ea6;2012-03-16;AUTHOR=Fabio Martelli;MES=SYNCOPE-35 #comment no code modification seems to be needed;1;0
606e32ec4f;2012-03-16;AUTHOR=Massimiliano Perrone;MES=Applying attached patch [SYNCOPE-21];1;2
3073ce6c89;2012-03-16;AUTHOR=Dino Anzellotti;MES=fix SYNCOPE-37;1;1
8d5c79e522;2012-03-16;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-20] Audit statements have been spread in all REST controllers: this aspect will need to be refined as soon as there is need of audit features in a real deployment; still missing console interface;1;20
648bac6f38;2012-03-19;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-40] Added @Lob and fixed NotificationTest execution;1;2
798658d694;2012-03-19;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-43] ReportJob was not adding the new execution to relative report;1;4
411736c86c;2012-03-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-20] console UI for audit management completed;1;12
fa87947a1f;2012-03-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-20] removing useless images;1;0
304d2afba9;2012-03-22;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-39 Add NotificationManager into SyncJob;1;1
b19fc2ae87;2012-03-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-25] Updating to latest glassfish required a Derby instance to be up and running on port 1527: unfortunately cargo does not seem able to launch it (asadmin start-database is not supported), so I ended up by adding a dedicated maven-antrun-plugin configuration inside the glassfish-it profile;1;0
8b38ff4939;2012-03-22;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-46 Add single quote to user search;1;1
c8197acdfd;2012-03-22;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-46 Add test for issue;1;1
04979883e3;2012-03-23;AUTHOR=Fabio Martelli;MES=SYNCOPE-47 #user templated used to be not applied in case of update coming from synchronization;1;3
7b740e6a11;2012-03-28;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-50] A separated ImplementationClassNamesLoader class, invoked on webapp init, has been provided: this will make things easier in WAR overlays;1;6
1715f3a727;2012-03-28;AUTHOR=Massimiliano Perrone;MES=[SYNCOPE-38] new TODO icons for console;1;0
941a5c6223;2012-03-28;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-49] Collections.unmodifiableMap() applied to all proper get*Map() client methods;1;8
e8c80ab9ff;2012-03-28;AUTHOR=Fabio Martelli;MES=SYNCOPE-41 #comment provided fields to store email attribute type/schema;1;10
