Ticket ID;Date;Fixed Commits;Affected Versions
SYNCOPE-181;2012-08-06;0;1
SYNCOPE-180;2012-08-02;0;1
SYNCOPE-179;2012-08-01;0;1
SYNCOPE-178;2012-08-01;0;1
SYNCOPE-118;2012-07-27;1;1
SYNCOPE-117;2012-07-27;1;1
SYNCOPE-115;2012-07-26;1;1
SYNCOPE-114;2012-07-20;1;1
SYNCOPE-113;2012-07-19;1;1
SYNCOPE-112;2012-07-17;1;1
SYNCOPE-111;2012-07-16;1;1
SYNCOPE-108;2012-07-12;1;1
SYNCOPE-106;2012-07-06;1;1
SYNCOPE-104;2012-07-04;1;1
SYNCOPE-103;2012-07-02;1;1
SYNCOPE-102;2012-06-27;1;1
SYNCOPE-101;2012-06-26;1;1
SYNCOPE-99;2012-06-20;1;1
SYNCOPE-97;2012-06-19;1;1
SYNCOPE-96;2012-06-14;1;1
SYNCOPE-95;2012-06-12;1;1
SYNCOPE-94;2012-06-08;1;1
SYNCOPE-92;2012-06-04;2;1
SYNCOPE-90;2012-05-30;1;1
SYNCOPE-86;2012-05-22;1;1
SYNCOPE-84;2012-05-22;1;1
SYNCOPE-83;2012-05-21;1;1
SYNCOPE-82;2012-05-08;1;1
SYNCOPE-81;2012-05-03;2;1
SYNCOPE-80;2012-05-03;1;1
SYNCOPE-77;2012-05-02;1;1
SYNCOPE-75;2012-05-02;1;1
SYNCOPE-72;2012-04-30;1;1
SYNCOPE-71;2012-04-30;1;1
SYNCOPE-70;2012-04-30;1;1
SYNCOPE-68;2012-04-27;1;1
SYNCOPE-65;2012-04-24;1;1
SYNCOPE-63;2012-04-24;1;1
SYNCOPE-61;2012-04-18;0;1
SYNCOPE-58;2012-04-17;1;1
SYNCOPE-54;2012-04-04;2;1
SYNCOPE-52;2012-04-04;1;1
SYNCOPE-49;2012-03-28;2;1
SYNCOPE-48;2012-03-26;1;1
SYNCOPE-47;2012-03-23;1;1
SYNCOPE-46;2012-03-22;2;1
SYNCOPE-43;2012-03-17;1;1
SYNCOPE-41;2012-03-15;2;1
SYNCOPE-40;2012-03-15;1;1
SYNCOPE-39;2012-03-15;1;1
SYNCOPE-37;2012-03-14;0;1
SYNCOPE-36;2012-03-13;0;1
SYNCOPE-34;2012-03-09;1;1
SYNCOPE-33;2012-03-09;1;1
SYNCOPE-32;2012-03-09;2;1
SYNCOPE-31;2012-03-08;1;1
SYNCOPE-30;2012-03-08;1;1
SYNCOPE-29;2012-03-08;2;1
SYNCOPE-27;2012-03-07;1;1
SYNCOPE-23;2012-03-02;1;1
SYNCOPE-21;2012-03-02;2;1
SYNCOPE-18;2012-03-01;1;1
SYNCOPE-17;2012-03-01;1;1
SYNCOPE-16;2012-03-01;1;1
SYNCOPE-12;2012-02-29;1;1
SYNCOPE-11;2012-02-29;1;1
SYNCOPE-10;2012-02-28;1;1
SYNCOPE-8;2012-02-24;1;1
SYNCOPE-3;2012-02-23;1;1
SYNCOPE-1;2012-02-21;1;1
SYNCOPE-240;2012-11-29;0;1
SYNCOPE-272;2013-01-11;1;1
SYNCOPE-347;2013-03-28;0;1
SYNCOPE-343;2013-03-22;1;1
SYNCOPE-342;2013-03-22;1;3
SYNCOPE-341;2013-03-21;1;3
SYNCOPE-339;2013-03-19;1;2
SYNCOPE-338;2013-03-19;1;1
SYNCOPE-336;2013-03-11;2;1
SYNCOPE-334;2013-03-04;1;1
SYNCOPE-332;2013-03-03;1;4
SYNCOPE-330;2013-03-01;1;1
SYNCOPE-329;2013-02-28;1;2
SYNCOPE-328;2013-02-28;1;2
SYNCOPE-327;2013-02-27;5;2
SYNCOPE-325;2013-02-25;1;3
SYNCOPE-323;2013-02-22;1;2
SYNCOPE-322;2013-02-22;1;3
SYNCOPE-321;2013-02-21;1;1
SYNCOPE-320;2013-02-20;1;1
SYNCOPE-318;2013-02-19;0;3
SYNCOPE-317;2013-02-18;1;1
SYNCOPE-316;2013-02-18;1;3
SYNCOPE-315;2013-02-15;3;3
SYNCOPE-314;2013-02-14;1;2
SYNCOPE-312;2013-02-08;2;3
SYNCOPE-310;2013-02-08;1;3
SYNCOPE-309;2013-02-04;2;3
SYNCOPE-308;2013-02-04;1;3
SYNCOPE-307;2013-02-04;2;2
SYNCOPE-306;2013-02-01;1;3
SYNCOPE-305;2013-02-01;0;3
SYNCOPE-302;2013-01-31;1;1
SYNCOPE-301;2013-01-30;1;3
SYNCOPE-297;2013-01-29;1;3
SYNCOPE-294;2013-01-28;1;2
SYNCOPE-292;2013-01-28;0;1
SYNCOPE-284;2013-01-23;1;1
SYNCOPE-274;2013-01-15;1;2
SYNCOPE-269;2013-01-10;1;3
SYNCOPE-267;2013-01-08;2;3
SYNCOPE-262;2013-01-04;2;1
SYNCOPE-260;2013-01-02;3;2
SYNCOPE-238;2012-11-19;0;2
SYNCOPE-237;2012-11-16;0;2
SYNCOPE-236;2012-11-11;0;2
SYNCOPE-234;2012-11-05;0;1
SYNCOPE-233;2012-11-03;0;3
SYNCOPE-232;2012-11-02;0;3
SYNCOPE-230;2012-10-26;0;2
SYNCOPE-228;2012-10-25;0;2
SYNCOPE-226;2012-10-18;0;2
SYNCOPE-224;2012-10-16;0;2
SYNCOPE-220;2012-10-13;0;2
SYNCOPE-217;2012-10-09;0;2
SYNCOPE-214;2012-10-04;0;2
SYNCOPE-211;2012-09-20;0;2
SYNCOPE-202;2012-09-05;0;2
SYNCOPE-197;2012-09-03;1;7
SYNCOPE-196;2012-09-03;1;2
SYNCOPE-194;2012-09-03;0;2
SYNCOPE-192;2012-08-29;0;2
SYNCOPE-191;2012-08-27;0;2
SYNCOPE-187;2012-08-14;1;3
SYNCOPE-185;2012-08-14;0;2
SYNCOPE-183;2012-08-14;1;1
SYNCOPE-182;2012-08-13;0;2
SYNCOPE-412;2013-09-16;1;1
SYNCOPE-474;2014-01-09;1;1
SYNCOPE-484;2014-03-12;1;1
SYNCOPE-531;2014-07-05;4;2
SYNCOPE-527;2014-07-02;1;2
SYNCOPE-515;2014-06-24;2;3
SYNCOPE-514;2014-06-23;1;1
SYNCOPE-512;2014-06-20;1;2
SYNCOPE-510;2014-06-19;1;1
SYNCOPE-509;2014-06-19;2;2
SYNCOPE-506;2014-06-12;1;1
SYNCOPE-504;2014-06-11;1;3
SYNCOPE-501;2014-06-10;3;2
SYNCOPE-500;2014-06-06;3;2
SYNCOPE-499;2014-06-03;2;3
SYNCOPE-498;2014-05-30;1;2
SYNCOPE-497;2014-05-30;1;2
SYNCOPE-495;2014-05-22;2;1
SYNCOPE-490;2014-05-08;1;1
SYNCOPE-489;2014-05-07;1;1
SYNCOPE-483;2014-03-11;0;1
SYNCOPE-482;2014-02-27;1;1
SYNCOPE-477;2014-01-15;2;2
SYNCOPE-476;2014-01-14;3;2
SYNCOPE-475;2014-01-09;2;2
SYNCOPE-466;2013-12-30;2;2
SYNCOPE-465;2013-12-29;4;2
SYNCOPE-462;2013-12-16;2;2
SYNCOPE-459;2013-12-04;3;3
SYNCOPE-458;2013-12-03;1;1
SYNCOPE-457;2013-12-03;1;2
SYNCOPE-455;2013-11-29;2;2
SYNCOPE-454;2013-11-29;2;2
SYNCOPE-453;2013-11-29;1;2
SYNCOPE-452;2013-11-29;2;2
SYNCOPE-440;2013-11-15;2;2
SYNCOPE-437;2013-11-13;2;2
SYNCOPE-436;2013-11-12;3;2
SYNCOPE-435;2013-11-08;2;2
SYNCOPE-434;2013-11-07;2;2
SYNCOPE-433;2013-11-07;2;2
SYNCOPE-426;2013-10-25;2;2
SYNCOPE-423;2013-10-02;3;2
SYNCOPE-419;2013-10-01;2;2
SYNCOPE-418;2013-09-20;3;2
SYNCOPE-417;2013-09-20;2;2
SYNCOPE-414;2013-09-18;1;1
SYNCOPE-404;2013-07-19;2;3
SYNCOPE-401;2013-07-11;0;2
SYNCOPE-400;2013-07-11;2;3
SYNCOPE-399;2013-07-04;0;3
SYNCOPE-398;2013-07-01;2;2
SYNCOPE-397;2013-06-26;1;2
SYNCOPE-396;2013-06-24;1;1
SYNCOPE-394;2013-06-12;3;2
SYNCOPE-387;2013-06-03;2;2
SYNCOPE-386;2013-06-03;2;2
SYNCOPE-385;2013-06-03;2;2
SYNCOPE-384;2013-05-31;2;2
SYNCOPE-383;2013-05-31;2;2
SYNCOPE-382;2013-05-31;0;2
SYNCOPE-381;2013-05-31;2;2
SYNCOPE-380;2013-05-31;0;2
SYNCOPE-377;2013-05-31;0;1
SYNCOPE-376;2013-05-30;2;2
SYNCOPE-375;2013-05-28;2;2
SYNCOPE-373;2013-05-28;2;2
SYNCOPE-372;2013-05-27;2;2
SYNCOPE-371;2013-05-21;0;2
SYNCOPE-370;2013-05-08;2;2
SYNCOPE-369;2013-05-07;2;2
SYNCOPE-368;2013-04-29;2;2
SYNCOPE-366;2013-04-26;0;2
SYNCOPE-365;2013-04-24;1;2
SYNCOPE-364;2013-04-19;2;4
SYNCOPE-363;2013-04-19;2;2
SYNCOPE-361;2013-04-19;3;2
SYNCOPE-360;2013-04-18;1;2
SYNCOPE-358;2013-04-15;3;2
SYNCOPE-357;2013-04-15;2;2
SYNCOPE-356;2013-04-14;2;2
SYNCOPE-354;2013-04-12;2;2
SYNCOPE-353;2013-04-09;2;2
SYNCOPE-352;2013-04-08;2;2
SYNCOPE-351;2013-04-05;2;4
SYNCOPE-349;2013-04-03;3;3
SYNCOPE-285;2013-01-23;3;15
SYNCOPE-655;2015-03-27;1;1
SYNCOPE-683;2015-07-13;1;1
SYNCOPE-682;2015-07-13;1;1
SYNCOPE-677;2015-07-08;1;1
SYNCOPE-716;2015-10-27;1;1
SYNCOPE-712;2015-10-19;1;1
SYNCOPE-733;2015-11-23;1;1
SYNCOPE-717;2015-10-28;4;2
SYNCOPE-710;2015-10-14;2;2
SYNCOPE-707;2015-10-13;0;3
SYNCOPE-706;2015-10-12;1;1
SYNCOPE-703;2015-10-07;1;1
SYNCOPE-702;2015-10-06;2;1
SYNCOPE-691;2015-09-07;2;2
SYNCOPE-688;2015-08-28;1;1
SYNCOPE-686;2015-08-25;3;2
SYNCOPE-684;2015-07-23;2;2
SYNCOPE-678;2015-07-08;2;2
SYNCOPE-673;2015-05-27;3;4
SYNCOPE-672;2015-05-25;2;2
SYNCOPE-671;2015-05-24;2;2
SYNCOPE-670;2015-05-21;2;2
SYNCOPE-669;2015-05-21;2;2
SYNCOPE-668;2015-05-19;1;2
SYNCOPE-664;2015-05-04;2;2
SYNCOPE-659;2015-04-15;1;2
SYNCOPE-658;2015-04-10;3;2
SYNCOPE-656;2015-04-02;2;2
SYNCOPE-654;2015-03-26;5;2
SYNCOPE-649;2015-02-27;0;2
SYNCOPE-647;2015-02-23;2;2
SYNCOPE-644;2015-02-18;2;2
SYNCOPE-643;2015-02-16;2;3
SYNCOPE-641;2015-02-13;5;2
SYNCOPE-639;2015-02-13;2;2
SYNCOPE-638;2015-02-13;2;2
SYNCOPE-632;2015-01-28;1;2
SYNCOPE-629;2015-01-20;2;3
SYNCOPE-625;2014-12-28;1;1
SYNCOPE-617;2014-12-18;1;2
SYNCOPE-615;2014-12-11;1;1
SYNCOPE-614;2014-12-04;1;2
SYNCOPE-613;2014-12-01;1;2
SYNCOPE-611;2014-11-27;1;2
SYNCOPE-610;2014-11-21;0;2
SYNCOPE-608;2014-11-19;1;2
SYNCOPE-607;2014-11-19;1;2
SYNCOPE-605;2014-11-11;1;1
SYNCOPE-603;2014-11-06;1;1
SYNCOPE-601;2014-11-06;2;3
SYNCOPE-600;2014-11-05;1;3
SYNCOPE-598;2014-11-02;1;2
SYNCOPE-597;2014-10-29;1;2
